index,sentence,year,label,orig_index,pred,score,pred_0,pred_1,pred_2,source
122,Broad equity price indexes fell sharply over the intermeeting period on net.,2011,2,119,2,0.9985650181770325,0,0,1,train
275,"For example, although a number of features of Brazilian law promote the independence of the nation's central bank, the bank's de facto independence may be limited by the power of the president to remove members of the Monetary Policy Committee.",2004,2,270,2,0.9998044371604919,0,0,1,train
632,"On balance, most participants still expected inflation to moderate later this year and in 2009.",2005,2,599,2,0.983885645866394,0,0,1,train
486,"Low readings on overall and core consumer price inflation in recent months, as well as the weakened economic outlook, kept near-term inflation expectations reported in surveys well below their high levels in mid-2008.",2008,0,465,0,0.9927945733070374,1,0,0,train
74,But I want to emphasize that we do have a commitment to raising inflation to 2 percent.,2011,0,73,0,0.9921452403068542,1,0,0,train
1107,"With inflation low and resource use slack, the Committee saw no need for tightening policy in the near future.",1999,2,1046,2,0.9846751093864441,0,0,1,train
749,The Outlook for Economic ActivityThe midpoint of the range of projections for real GDP growth declines noticeably from about 2-1/2 percent for 2007 to roughly 2 percent in 2008; then it returns to about 2-1/2 percent in 2009 and 2010.,2020,2,727,2,0.9997864365577698,0,0,1,train
610,"Nonetheless, participants viewed the housing situation and its potential further effect on employment, income, and wealth as one of the major sources of downside risk to the economic outlook.",2019,0,579,0,0.999466598033905,1,0,0,train
40,"And then, what the statement emphasizes, and this is the same language we used in December and January, we used the language especially if inflation is running below our 2 percent objective.",2017,0,40,0,0.9946371912956238,1,0,0,train
703,"Some of the increase in sentiment and changes in asset prices could be tied to expectations of more expansive fiscal policy, another upside risk.",2017,0,682,0,0.996116042137146,1,0,0,train
683,"Sargent, T. ""Discussion of 'Policy Rules for Open Economics' by Lawrence Ball,"" in J.B. Taylor, ed., Monetary Policy Rules.",2020,2,662,2,0.9998218417167664,0,0,1,train
638,Our new statement explicitly acknowledges the challenges posed by the proximity of interest rates to the effective lower bound.,2002,1,617,1,0.9993576407432556,0,1,0,train
879,"The behavior of the monetary aggregates will continue to be evaluated in the light of progress toward price level stability, movements in their velocities, and developments in the economy and financial markets.",2020,2,830,2,0.9995967745780945,0,0,1,train
163,"I’m just saying, that, that is what fiscal policy can do that, really, monetary policy can’t do—is, is invest in the future productive capacity of the economy, raise potential growth.",2020,2,158,1,0.9357335567474365,0,1,0,train
501,"Many observed, however, that a favorable outcome to the hostilities in the Middle East and lower oil prices in line with quotations in futures markets should generate a positive response in equity markets, boost consumer sentiment, and foster a rebound in consumer spending as the year progressed.",2002,1,480,1,0.9974209070205688,0,1,0,train
537,Lower potential growth implies lower returns and therefore lower rates.,2021,0,519,0,0.5717688798904419,1,0,0,train
487,"Indeed, the National Bureau of Economic Research's Business Cycle Dating Committee determined in July that the recession that began in March of last year ended in April, making it not only the deepest recession on record, but also the briefest.2 The recovery that commenced in the summer of 2020 was quite robust, and, with one quarter to go, GDP growth in 2021 is projected by the Fed and many outside forecasters to be the fastest since 1983.",2005,1,471,1,0.9976903200149536,0,1,0,train
779,"Some business contacts indicated that wage and price pressures were subdued; however, in one District, contacts pointed to rising wage pressures and labor shortages.",2018,1,736,1,0.9969179630279541,0,1,0,train
728,"That said, the data also indicate that a surge in COVID-19 cases in the summer and supply-chain bottlenecks held back economic activity in the third quarter.",2007,0,706,0,0.9945959448814392,1,0,0,train
381,"If we adjust the 6.7 percent headline unemployment rate for the decline in participation since February and the Bureau of Labor Statistics estimate of misclassification, the unemployment rate would be 10 percent, similar to the peak following the Global Financial Crisis.",2019,1,370,0,0.9971491694450378,1,0,0,train
451,"Inflation was still expected to be somewhat higher this year than last year, largely reflecting an upturn in the prices for food and non-energy imports.",2020,1,430,1,0.999184787273407,0,1,0,train
52,"And, and that’s why we have adopted the flexible average inflation-targeting framework.",2015,0,51,0,0.8047395348548889,1,0,0,train
511,"It is important to recognize the importance of moving interest rates in response to changing conditions and the potential for destabilizing policy when policy resists the natural tendency for interest rates to rise during cyclical upswings, especially when the economy is near its potential.",1999,1,494,1,0.9971000552177429,0,1,0,train
514,"most survey-based measures of longer-term inflation expectations were little changed, on balance, in recent months.",2013,2,490,2,0.9998366832733154,0,0,1,train
776,"Similarly, measures of underlying inflation continued to be somewhat low relative to levels seen as consistent with the dual mandate over the longer run.",2003,2,733,2,0.9997990727424622,0,0,1,train
141,"But I continue to believe that the underlying rate inflation in the U.S. economy is hovering close to our 2 percent longer-run objective and, thus, that the unwelcome surge in inflation this year, once these relative price adjustments are complete and bottlenecks have unclogged, will in the end prove to be largely transitory.",2000,2,139,2,0.9807472825050354,0,0,1,train
263,"Fiscal policy, on the other hand, can be an instrument of growth policy, through its effect on national saving via the structural budget deficit, through incentive effects on work, saving and investment via tax rates and tax structure, and through public investment in human capital and physical infrastructure.",1996,0,258,0,0.99566650390625,1,0,0,train
